year,weeks,dsci_avg,partial,source
2000,52,2.2,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2001,52,0.2,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2002,53,14.4,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2003,52,13.6,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2004,52,26.8,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2005,52,4.1,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2006,52,15.9,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2007,52,28.3,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2008,53,22.4,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2009,52,12.6,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2010,52,33.1,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2011,52,13.2,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2012,52,18.0,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2013,53,50.1,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2014,52,4.6,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2015,52,36.5,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2016,52,13.0,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2017,52,19.3,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2018,52,11.1,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2019,53,23.3,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2020,52,8.4,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2021,52,14.7,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2022,52,8.9,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2023,52,1.8,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2024,53,2.6,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2025,52,7.0,False,USDM API NWSRegionStatistics GetDSCI aoi=AR
2026,24,11.4,True,USDM API partial through 6/17/2026
