year,weeks,dsci_avg,partial,source
2000,52,94.2,False,USDM API USStatistics/GetDSCI aoi=conus
2001,52,91.5,False,USDM API USStatistics/GetDSCI aoi=conus
2002,52,151.5,False,USDM API USStatistics/GetDSCI aoi=conus
2003,52,152.0,False,USDM API USStatistics/GetDSCI aoi=conus
2004,52,119.2,False,USDM API USStatistics/GetDSCI aoi=conus
2005,52,82.0,False,USDM API USStatistics/GetDSCI aoi=conus
2006,52,109.2,False,USDM API USStatistics/GetDSCI aoi=conus
2007,52,117.8,False,USDM API USStatistics/GetDSCI aoi=conus
2008,52,88.6,False,USDM API USStatistics/GetDSCI aoi=conus
2009,52,62.7,False,USDM API USStatistics/GetDSCI aoi=conus
2010,52,46.4,False,USDM API USStatistics/GetDSCI aoi=conus
2011,52,106.4,False,USDM API USStatistics/GetDSCI aoi=conus
2012,52,165.4,False,USDM API USStatistics/GetDSCI aoi=conus
2013,52,150.0,False,USDM API USStatistics/GetDSCI aoi=conus
2014,52,117.0,False,USDM API USStatistics/GetDSCI aoi=conus
2015,52,104.9,False,USDM API USStatistics/GetDSCI aoi=conus
2016,52,73.6,False,USDM API USStatistics/GetDSCI aoi=conus
2017,52,50.2,False,USDM API USStatistics/GetDSCI aoi=conus
2018,52,100.2,False,USDM API USStatistics/GetDSCI aoi=conus
2019,52,38.0,False,USDM API USStatistics/GetDSCI aoi=conus
2020,52,97.1,False,USDM API USStatistics/GetDSCI aoi=conus
2021,52,172.3,False,USDM API USStatistics/GetDSCI aoi=conus
2022,52,178.3,False,USDM API USStatistics/GetDSCI aoi=conus
2023,52,111.1,False,USDM API USStatistics/GetDSCI aoi=conus
2024,52,94.1,False,USDM API USStatistics/GetDSCI aoi=conus
2025,52,124.1,False,USDM API USStatistics/GetDSCI aoi=conus
2026,34,168.7,True,USDM API USStatistics/GetDSCI aoi=conus partial through 8/27/2026
