year,weeks,dsci_avg,partial,source
2000,52,40.4,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2001,52,91.2,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2002,53,160.2,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2003,52,11.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2004,52,7.7,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2005,52,18.9,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2006,52,27.7,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2007,52,82.6,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2008,53,76.5,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2009,52,25.6,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2010,52,33.6,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2011,52,48.9,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2012,52,66.1,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2013,53,23.0,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2014,52,11.9,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2015,52,31.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2016,52,60.3,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2017,52,38.5,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2018,52,21.1,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2019,53,19.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2020,52,32.7,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2021,52,33.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2022,52,42.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2023,52,36.8,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2024,53,63.2,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2025,52,86.7,False,USDM API NWSRegionStatistics GetDSCI aoi=ER
2026,34,150.6,True,USDM API partial through 8/27/2026
