Name,MapDate,DSCI
CONUS,20201229,182
CONUS,20210105,171
CONUS,20210112,170
CONUS,20210119,172
CONUS,20210126,171
CONUS,20210202,171
CONUS,20210209,171
CONUS,20210216,167
CONUS,20210223,167
CONUS,20210302,166
CONUS,20210309,172
CONUS,20210316,166
CONUS,20210323,164
CONUS,20210330,164
CONUS,20210406,169
CONUS,20210413,169
CONUS,20210420,174
CONUS,20210427,180
CONUS,20210504,176
CONUS,20210511,171
CONUS,20210518,167
CONUS,20210525,166
CONUS,20210601,164
CONUS,20210608,170
CONUS,20210615,170
CONUS,20210622,175
CONUS,20210629,174
CONUS,20210706,174
CONUS,20210713,173
CONUS,20210720,174
CONUS,20210727,173
CONUS,20210803,174
CONUS,20210810,178
CONUS,20210817,178
CONUS,20210824,175
CONUS,20210831,171
CONUS,20210907,168
CONUS,20210914,171
CONUS,20210921,173
CONUS,20210928,177
CONUS,20211005,176
CONUS,20211012,174
CONUS,20211019,169
CONUS,20211026,170
CONUS,20211102,167
CONUS,20211109,167
CONUS,20211116,167
CONUS,20211123,172
CONUS,20211130,181
CONUS,20211207,187
CONUS,20211214,188
CONUS,20211221,186
CONUS,20211228,181
