Name,MapDate,DSCI
Alaska,20021231,0
Alaska,20030107,0
Alaska,20030114,0
Alaska,20030121,0
Alaska,20030128,0
Alaska,20030204,0
Alaska,20030211,0
Alaska,20030218,0
Alaska,20030225,9
Alaska,20030304,9
Alaska,20030311,9
Alaska,20030318,37
Alaska,20030325,37
Alaska,20030401,37
Alaska,20030408,29
Alaska,20030415,22
Alaska,20030422,23
Alaska,20030429,18
Alaska,20030506,18
Alaska,20030513,18
Alaska,20030520,22
Alaska,20030527,23
Alaska,20030603,33
Alaska,20030610,32
Alaska,20030617,41
Alaska,20030624,41
Alaska,20030701,35
Alaska,20030708,22
Alaska,20030715,23
Alaska,20030722,11
Alaska,20030729,3
Alaska,20030805,3
Alaska,20030812,3
Alaska,20030819,3
Alaska,20030826,2
Alaska,20030902,3
Alaska,20030909,3
Alaska,20030916,3
Alaska,20030923,3
Alaska,20030930,3
Alaska,20031007,3
Alaska,20031014,3
Alaska,20031021,7
Alaska,20031028,7
Alaska,20031104,7
Alaska,20031111,13
Alaska,20031118,13
Alaska,20031125,14
Alaska,20031202,13
Alaska,20031209,14
Alaska,20031216,11
Alaska,20031223,9
Alaska,20031230,13
