Name,MapDate,DSCI
Alaska,20251230,9
Alaska,20260106,9
Alaska,20260113,14
Alaska,20260120,10
Alaska,20260127,14
Alaska,20260203,19
Alaska,20260210,21
Alaska,20260217,21
Alaska,20260224,19
Alaska,20260303,15
Alaska,20260310,15
Alaska,20260317,15
Alaska,20260324,17
Alaska,20260331,17
Alaska,20260407,17
Alaska,20260414,17
Alaska,20260421,15
Alaska,20260428,12
Alaska,20260505,3
Alaska,20260512,2
Alaska,20260519,1
Alaska,20260526,0
Alaska,20260602,0
Alaska,20260609,0
Alaska,20260616,0
Alaska,20260623,7
Alaska,20260630,7
Alaska,20260707,12
Alaska,20260714,12
Alaska,20260721,2
Alaska,20260728,2
Alaska,20260804,8
Alaska,20260811,10
Alaska,20260818,12
Alaska,20260825,13
