Name,MapDate,DSCI
Eastern,20001226,42
Eastern,20010102,41
Eastern,20010109,45
Eastern,20010116,47
Eastern,20010123,52
Eastern,20010130,56
Eastern,20010206,59
Eastern,20010213,74
Eastern,20010220,72
Eastern,20010227,73
Eastern,20010306,70
Eastern,20010313,71
Eastern,20010320,73
Eastern,20010327,87
Eastern,20010403,74
Eastern,20010410,65
Eastern,20010417,60
Eastern,20010424,61
Eastern,20010501,62
Eastern,20010508,140
Eastern,20010515,164
Eastern,20010522,159
Eastern,20010529,132
Eastern,20010605,77
Eastern,20010612,70
Eastern,20010619,59
Eastern,20010626,54
Eastern,20010703,51
Eastern,20010710,38
Eastern,20010717,41
Eastern,20010724,49
Eastern,20010731,52
Eastern,20010807,65
Eastern,20010814,76
Eastern,20010821,73
Eastern,20010828,87
Eastern,20010904,72
Eastern,20010911,85
Eastern,20010918,91
Eastern,20010925,72
Eastern,20011002,59
Eastern,20011009,78
Eastern,20011016,78
Eastern,20011023,111
Eastern,20011030,136
Eastern,20011106,151
Eastern,20011113,162
Eastern,20011120,181
Eastern,20011127,182
Eastern,20011204,197
Eastern,20011211,179
Eastern,20011218,190
Eastern,20011225,187
