Name,MapDate,DSCI
Eastern,20251230,131
Eastern,20260106,150
Eastern,20260113,160
Eastern,20260120,160
Eastern,20260127,160
Eastern,20260203,159
Eastern,20260210,164
Eastern,20260217,171
Eastern,20260224,164
Eastern,20260303,165
Eastern,20260310,156
Eastern,20260317,150
Eastern,20260324,147
Eastern,20260331,148
Eastern,20260407,151
Eastern,20260414,164
Eastern,20260421,175
Eastern,20260428,186
Eastern,20260505,189
Eastern,20260512,191
Eastern,20260519,193
Eastern,20260526,170
Eastern,20260602,157
Eastern,20260609,164
Eastern,20260616,160
