Name,MapDate,DSCI
Southern,20041228,28
Southern,20050104,28
Southern,20050111,28
Southern,20050118,27
Southern,20050125,27
Southern,20050201,28
Southern,20050208,26
Southern,20050215,24
Southern,20050222,24
Southern,20050301,18
Southern,20050308,20
Southern,20050315,20
Southern,20050322,20
Southern,20050329,17
Southern,20050405,20
Southern,20050412,15
Southern,20050419,17
Southern,20050426,27
Southern,20050503,50
Southern,20050510,53
Southern,20050517,50
Southern,20050524,59
Southern,20050531,58
Southern,20050607,63
Southern,20050614,63
Southern,20050621,60
Southern,20050628,87
Southern,20050705,100
Southern,20050712,90
Southern,20050719,86
Southern,20050726,85
Southern,20050802,86
Southern,20050809,78
Southern,20050816,68
Southern,20050823,65
Southern,20050830,58
Southern,20050906,58
Southern,20050913,68
Southern,20050920,65
Southern,20050927,45
Southern,20051004,53
Southern,20051011,54
Southern,20051018,53
Southern,20051025,76
Southern,20051101,94
Southern,20051108,109
Southern,20051115,121
Southern,20051122,117
Southern,20051129,117
Southern,20051206,126
Southern,20051213,132
Southern,20051220,135
Southern,20051227,133
