Name,MapDate,DSCI
Southern,20251230,177
Southern,20260106,200
Southern,20260113,205
Southern,20260120,215
Southern,20260127,206
Southern,20260203,211
Southern,20260210,221
Southern,20260217,224
Southern,20260224,234
Southern,20260303,248
Southern,20260310,247
Southern,20260317,248
Southern,20260324,261
Southern,20260331,284
Southern,20260407,285
Southern,20260414,291
Southern,20260421,297
Southern,20260428,295
Southern,20260505,284
Southern,20260512,275
Southern,20260519,278
Southern,20260526,255
Southern,20260602,225
Southern,20260609,192
Southern,20260616,182
Southern,20260623,159
Southern,20260630,147
Southern,20260707,143
Southern,20260714,131
Southern,20260721,125
Southern,20260728,125
