Name,MapDate,DSCI
Western,20031230,244
Western,20040106,238
Western,20040113,230
Western,20040120,228
Western,20040127,223
Western,20040203,222
Western,20040210,215
Western,20040217,215
Western,20040224,214
Western,20040302,204
Western,20040309,206
Western,20040316,204
Western,20040323,204
Western,20040330,208
Western,20040406,205
Western,20040413,217
Western,20040420,222
Western,20040427,224
Western,20040504,236
Western,20040511,238
Western,20040518,239
Western,20040525,237
Western,20040601,232
Western,20040608,227
Western,20040615,225
Western,20040622,225
Western,20040629,229
Western,20040706,230
Western,20040713,230
Western,20040720,235
Western,20040727,238
Western,20040803,238
Western,20040810,245
Western,20040817,249
Western,20040824,241
Western,20040831,234
Western,20040907,234
Western,20040914,230
Western,20040921,226
Western,20040928,225
Western,20041005,225
Western,20041012,225
Western,20041019,222
Western,20041026,208
Western,20041102,206
Western,20041109,202
Western,20041116,201
Western,20041123,201
Western,20041130,193
Western,20041207,192
Western,20041214,185
Western,20041221,190
Western,20041228,190
