year,weeks,dsci_avg,partial,source
2000,52,183.6,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2001,52,80.5,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2002,53,101.5,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2003,52,82.8,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2004,52,61.0,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2005,52,61.6,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2006,52,177.7,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2007,52,95.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2008,53,102.4,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2009,52,78.2,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2010,52,55.4,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2011,52,279.5,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2012,52,205.4,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2013,53,168.3,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2014,52,132.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2015,52,68.0,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2016,52,59.1,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2017,52,51.2,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2018,52,113.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2019,53,50.6,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2020,52,85.5,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2021,52,103.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2022,52,192.5,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2023,52,142.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2024,53,105.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2025,52,118.9,False,USDM API NWSRegionStatistics GetDSCI aoi=SR
2026,34,215.9,True,USDM API partial through 8/27/2026
