year,weeks,dsci_avg,partial,source
2000,52,46.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2001,52,162.4,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2002,53,208.5,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2003,52,248.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2004,52,220.4,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2005,52,121.1,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2006,52,63.7,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2007,52,181.1,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2008,53,120.1,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2009,52,104.0,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2010,52,61.8,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2011,52,29.5,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2012,52,150.6,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2013,53,176.7,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2014,52,220.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2015,52,243.7,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2016,52,142.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2017,52,55.2,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2018,52,148.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2019,53,53.8,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2020,52,150.2,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2021,52,325.8,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2022,52,264.2,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2023,52,100.2,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2024,53,93.9,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2025,52,168.8,False,USDM API NWSRegionStatistics GetDSCI aoi=WR
2026,34,164.2,True,USDM API NWSRegionStatistics GetDSCI aoi=WR partial through 8/27/2026
