year,erc
1979,52.00
1980,50.79
1981,48.75
1982,45.80
1983,46.27
1984,47.33
1985,51.82
1986,47.84
1987,48.83
1988,53.90
1989,51.57
1990,49.12
1991,47.03
1992,48.23
1993,45.36
1994,54.30
1995,44.21
1996,50.24
1997,44.63
1998,45.43
1999,46.65
2000,54.86
2001,54.85
2002,58.24
2003,55.47
2004,51.97
2005,50.71
2006,56.85
2007,54.91
2008,56.07
2009,52.74
2010,53.84
2011,55.26
2012,64.33
2013,54.06
2014,53.12
2015,51.65
2016,53.34
2017,55.03
2018,56.97
2019,50.22
2020,61.20
2021,58.27
2022,54.61
2023,52.89
2024,56.64
2025,54.67
