fiscal_year,fs_treatment_acres,doi_treatment_acres,combined_treatment_acres,fs_wui_acres,fs_non_wui_acres,doi_wui_acres,doi_non_wui_acres,source
2003,1810883,1398681,3209564,1140000,339000,436128,962553,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2004,2660980,1143715,3804695,1700000,861000,413956,729759,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2005,2722401,1311379,4033780,1658000,1064000,462250,849129,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2006,2549640,1274147,3823787,1590000,957000,508892,765255,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2007,3006253,1449698,4455951,1590000,957000,767873,681825,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2008,3037373,1489688,4527061,1941000,1097000,564607,925081,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2009,3598879,2384042,5982921,2190000,1409000,764514,1619528,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2010,3262308,1907508,5169816,1965000,1297000,718286,1189222,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2011,2772338,1136719,3909057,1612000,1160000,718907,417812,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2012,2619907,1150491,3770398,1862000,758000,756551,393940,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2013,2626189,904502,3530691,1738000,888000,484276,420226,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2014,2416809,955698,3372507,1725000,817000,700611,255087,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2015,2324478,1111998,3436476,1471000,846000,820547,291451,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2016,3081785,2212426,5294211,1870000,1212000,802786,1409640,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2017,2600721,1296301,3897022,1413000,1187000,833312,462989,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2018,3192619,1457166,4649785,1985000,1207000,919227,537939,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2019,2594225,1616853,4211078,1599476,994750,1046567,570286,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2020,2337857,2128453,4466310,1350869,986988,1510408,618045,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
2021,3353607,1903058,5256665,2066591,1287015,1316196,586862,HFR-DOI-FS Accomplishments FY 2003-2021 (NFPORS)
