fiscal_year,combined_treatment_acres,combined_wui_acres,combined_non_wui_acres,wui_share_of_designation,wui_share_of_treatment,fs_wui_acres,fs_non_wui_acres,doi_wui_acres,doi_non_wui_acres
2003,3209564,1576128,1301553,0.5477,0.4911,1140000,339000,436128,962553
2004,3804695,2113956,1590759,0.5706,0.5556,1700000,861000,413956,729759
2005,4033780,2120250,1913129,0.5257,0.5256,1658000,1064000,462250,849129
2006,3823787,2098892,1722255,0.5493,0.5489,1590000,957000,508892,765255
2007,4455951,2357873,1638825,0.59,0.5292,1590000,957000,767873,681825
2008,4527061,2505607,2022081,0.5534,0.5535,1941000,1097000,564607,925081
2009,5982921,2954514,3028528,0.4938,0.4938,2190000,1409000,764514,1619528
2010,5169816,2683286,2486222,0.5191,0.519,1965000,1297000,718286,1189222
2011,3909057,2330907,1577812,0.5963,0.5963,1612000,1160000,718907,417812
2012,3770398,2618551,1151940,0.6945,0.6945,1862000,758000,756551,393940
2013,3530691,2222276,1308226,0.6295,0.6294,1738000,888000,484276,420226
2014,3372507,2425611,1072087,0.6935,0.7192,1725000,817000,700611,255087
2015,3436476,2291547,1137451,0.6683,0.6668,1471000,846000,820547,291451
2016,5294211,2672786,2621640,0.5048,0.5049,1870000,1212000,802786,1409640
2017,3897022,2246312,1649989,0.5765,0.5764,1413000,1187000,833312,462989
2018,4649785,2904227,1744939,0.6247,0.6246,1985000,1207000,919227,537939
2019,4211078,2646043,1565036,0.6284,0.6284,1599476,994750,1046567,570286
2020,4466310,2861277,1605033,0.6406,0.6406,1350869,986988,1510408,618045
2021,5256665,3382787,1873877,0.6435,0.6435,2066591,1287015,1316196,586862
