year,gacc,acres,source_report
2003,AK,559783,annual_report_2003_508.pdf (lightning+human)
2003,EA,250469,annual_report_2003_508.pdf (lightning+human)
2003,EB,358822,annual_report_2003_508.pdf (lightning+human)
2003,NO,146800,annual_report_2003_508.pdf (lightning+human)
2003,NR,885350,annual_report_2003_508.pdf (lightning+human)
2003,NW,364687,annual_report_2003_508.pdf (lightning+human)
2003,RM,187309,annual_report_2003_508.pdf (lightning+human)
2003,SA,310428,annual_report_2003_508.pdf (lightning+human)
2003,SO,662185,annual_report_2003_508.pdf (lightning+human)
2003,SW,280075,annual_report_2003_508.pdf (lightning+human)
2003,WB,18375,annual_report_2003_508.pdf (lightning+human)
2004,AK,6524513,annual_report_2004_508.pdf (lightning+human)
2004,EA,113267,annual_report_2004_508.pdf (lightning+human)
2004,EB,91473,annual_report_2004_508.pdf (lightning+human)
2004,NO,154692,annual_report_2004_508.pdf (lightning+human)
2004,NR,41403,annual_report_2004_508.pdf (lightning+human)
2004,NW,126581,annual_report_2004_508.pdf (lightning+human)
2004,RM,54311,annual_report_2004_508.pdf (lightning+human)
2004,SA,491513,annual_report_2004_508.pdf (lightning+human)
2004,SO,96576,annual_report_2004_508.pdf (lightning+human)
2004,SW,306234,annual_report_2004_508.pdf (lightning+human)
2004,WB,40745,annual_report_2004_508.pdf (lightning+human)
2005,AK,4440756,annual_report_2005_508.pdf (lightning+human)
2005,EA,100612,annual_report_2005_508.pdf (lightning+human)
2005,EB,255520,annual_report_2005_508.pdf (lightning+human)
2005,NO,66271,annual_report_2005_508.pdf (lightning+human)
2005,NR,130997,annual_report_2005_508.pdf (lightning+human)
2005,NW,343968,annual_report_2005_508.pdf (lightning+human)
2005,RM,89551,annual_report_2005_508.pdf (lightning+human)
2005,SA,606500,annual_report_2005_508.pdf (lightning+human)
2005,SO,145056,annual_report_2005_508.pdf (lightning+human)
2005,SW,843999,annual_report_2005_508.pdf (lightning+human)
2005,WB,1032912,annual_report_2005_508.pdf (lightning+human)
2006,AK,266320,Annual_Report_2006.pdf (lightning+human)
2006,EA,150447,Annual_Report_2006.pdf (lightning+human)
2006,EB,1246711,Annual_Report_2006.pdf (lightning+human)
2006,NO,322601,Annual_Report_2006.pdf (lightning+human)
2006,NR,1168446,Annual_Report_2006.pdf (lightning+human)
2006,NW,958252,Annual_Report_2006.pdf (lightning+human)
