year,western_acres,western_acres_millions,eastern_acres,eastern_acres_millions,southern_acres,southern_acres_millions,alaska_acres,alaska_acres_millions,national_gacc_acres,national_gacc_acres_millions,western_share_of_gacc,eastern_share_of_gacc,southern_share_of_gacc,alaska_share_of_gacc,gacc_coverage,gacc_definition,source_report
2003,2903603,2.9036,250469,0.2505,310428,0.3104,559783,0.5598,4024283,4.0243,0.7215,0.0622,0.0771,0.1391,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2003_508.pdf (lightning+human)
2004,912015,0.912,113267,0.1133,491513,0.4915,6524513,6.5245,8041308,8.0413,0.1134,0.0141,0.0611,0.8114,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2004_508.pdf (lightning+human)
2005,2908274,2.9083,100612,0.1006,606500,0.6065,4440756,4.4408,8056142,8.0561,0.361,0.0125,0.0753,0.5512,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2005_508.pdf (lightning+human)
2006,6839328,6.8393,150447,0.1504,633815,0.6338,266320,0.2663,7889910,7.8899,0.8668,0.0191,0.0803,0.0338,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",Annual_Report_2006.pdf (lightning+human)
2007,6687321,6.6873,250052,0.2501,1865655,1.8657,525017,0.525,9328045,9.328,0.7169,0.0268,0.2,0.0563,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2007_508.pdf (multiyear-text-total)
2010,1561024,1.561,145947,0.1459,661616,0.6616,1126108,1.1261,3494695,3.4947,0.4467,0.0418,0.1893,0.3222,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2010_508.pdf (lightning+human)
2011,4334706,4.3347,222325,0.2223,3934929,3.9349,293533,0.2935,8785493,8.7855,0.4934,0.0253,0.4479,0.0334,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2011_508.pdf (lightning+human)
2012,8199766,8.1998,157355,0.1574,749588,0.7496,287303,0.2873,9394012,9.394,0.8729,0.0168,0.0798,0.0306,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2012_508.pdf (lightning+human)
2013,2755028,2.755,64992,0.065,182650,0.1827,1316876,1.3169,4319546,4.3195,0.6378,0.015,0.0423,0.3049,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2023.pdf
2014,2555217,2.5552,54141,0.0541,752694,0.7527,233561,0.2336,3595613,3.5956,0.7106,0.0151,0.2093,0.065,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2024.pdf
2015,4357184,4.3572,100294,0.1003,556267,0.5563,5111404,5.1114,10125149,10.1251,0.4303,0.0099,0.0549,0.5048,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2016,3324442,3.3244,98042,0.098,1591044,1.591,496467,0.4965,5509995,5.51,0.6033,0.0178,0.2888,0.0901,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2017,7370594,7.3706,41705,0.0417,1960764,1.9608,653023,0.653,10026086,10.0261,0.7351,0.0042,0.1956,0.0651,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2018,6714974,6.715,50734,0.0507,1591101,1.5911,410683,0.4107,8767492,8.7675,0.7659,0.0058,0.1815,0.0468,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2019,1628426,1.6284,38852,0.0389,498925,0.4989,2498159,2.4982,4664362,4.6644,0.3491,0.0083,0.107,0.5356,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2020,9321229,9.3212,63036,0.063,556902,0.5569,181169,0.1812,10122336,10.1223,0.9209,0.0062,0.055,0.0179,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2021,6186783,6.1868,152669,0.1527,532835,0.5328,253356,0.2534,7125643,7.1256,0.8682,0.0214,0.0748,0.0356,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
2022,2883749,2.8837,64342,0.0643,1518116,1.5181,3110976,3.111,7577183,7.5772,0.3806,0.0085,0.2004,0.4106,all_gaccs,"West=NW,NR,GB,RM,SW,NO,SO; East=EA; South=SA; AK=AK",annual_report_2025.pdf
