,west_acres_m,west_vpd,west_erc,west_dsci,south_acres_m,south_vpd,south_erc,south_fm100,south_kbdi,south_dsci,east_acres_m,east_vpd,east_erc,east_dsci,alaska_acres_m,alaska_dsci
west_acres_m,1.0,0.765,0.833,-0.014,0.308,-0.095,-0.39,0.383,0.188,-0.345,-0.041,0.028,-0.031,-0.011,-0.292,-0.126
west_vpd,0.765,1.0,0.938,0.226,0.226,0.1,-0.028,0.072,0.392,0.202,0.205,0.393,0.3,0.168,-0.359,-0.274
west_erc,0.833,0.938,1.0,0.2,0.15,0.116,-0.03,0.047,0.344,0.082,0.165,0.317,0.261,0.113,-0.526,-0.321
west_dsci,-0.014,0.226,0.2,1.0,-0.328,-0.24,0.162,-0.083,0.38,0.425,0.137,0.213,0.411,-0.1,0.24,0.1
south_acres_m,0.308,0.226,0.15,-0.328,1.0,0.361,0.167,-0.179,0.199,-0.141,0.115,0.142,-0.32,0.423,-0.186,-0.454
south_vpd,-0.095,0.1,0.116,-0.24,0.361,1.0,0.778,-0.816,0.568,0.394,0.308,0.325,-0.014,0.539,-0.409,-0.29
south_erc,-0.39,-0.028,-0.03,0.162,0.167,0.778,1.0,-0.991,0.633,0.762,0.244,0.255,0.054,0.274,-0.252,-0.25
south_fm100,0.383,0.072,0.047,-0.083,-0.179,-0.816,-0.991,1.0,-0.607,-0.704,-0.218,-0.237,-0.022,-0.271,0.295,0.271
south_kbdi,0.188,0.392,0.344,0.38,0.199,0.568,0.633,-0.607,1.0,0.646,0.136,0.322,0.278,0.077,-0.103,-0.143
south_dsci,-0.345,0.202,0.082,0.425,-0.141,0.394,0.762,-0.704,0.646,1.0,0.079,0.374,0.413,-0.045,-0.038,-0.071
east_acres_m,-0.041,0.205,0.165,0.137,0.115,0.308,0.244,-0.218,0.136,0.079,1.0,0.485,0.167,0.81,-0.124,-0.32
east_vpd,0.028,0.393,0.317,0.213,0.142,0.325,0.255,-0.237,0.322,0.374,0.485,1.0,0.811,0.376,-0.487,-0.303
east_erc,-0.031,0.3,0.261,0.411,-0.32,-0.014,0.054,-0.022,0.278,0.413,0.167,0.811,1.0,-0.094,-0.362,-0.137
east_dsci,-0.011,0.168,0.113,-0.1,0.423,0.539,0.274,-0.271,0.077,-0.045,0.81,0.376,-0.094,1.0,-0.084,-0.343
alaska_acres_m,-0.292,-0.359,-0.526,0.24,-0.186,-0.409,-0.252,0.295,-0.103,-0.038,-0.124,-0.487,-0.362,-0.084,1.0,0.507
alaska_dsci,-0.126,-0.274,-0.321,0.1,-0.454,-0.29,-0.25,0.271,-0.143,-0.071,-0.32,-0.303,-0.137,-0.343,0.507,1.0
