year,west_dsci,east_dsci,south_dsci,alaska_dsci,west_partial,east_partial,south_partial,alaska_partial,source
2000,46.9,40.4,183.6,2.2,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2001,162.4,91.2,80.5,0.2,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2002,208.5,160.2,101.5,14.4,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2003,248.9,11.8,82.8,13.6,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2004,220.4,7.7,61.0,26.8,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2005,121.1,18.9,61.6,4.1,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2006,63.7,27.7,177.7,15.9,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2007,181.1,82.6,95.9,28.3,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2008,120.1,76.5,102.4,22.4,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2009,104.0,25.6,78.2,12.6,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2010,61.8,33.6,55.4,33.1,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2011,29.5,48.9,279.5,13.2,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2012,150.6,66.1,205.4,18.0,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2013,176.7,23.0,168.3,50.1,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2014,220.9,11.9,132.9,4.6,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2015,243.7,31.8,68.0,36.5,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2016,142.9,60.3,59.1,13.0,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2017,55.2,38.5,51.2,19.3,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2018,148.9,21.1,113.9,11.1,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2019,53.8,19.8,50.6,23.3,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2020,150.2,32.7,85.5,8.4,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2021,325.8,33.8,103.9,14.7,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2022,264.2,42.8,192.5,8.9,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2023,100.2,36.8,142.9,1.8,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2024,93.9,63.2,105.9,2.6,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2025,168.8,86.7,118.9,7.0,False,False,False,False,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
2026,156.0,161.2,230.1,11.1,True,True,True,True,USDM NWSRegionStatistics GetDSCI WR/ER/SR/AR
