year,west_vpd_kpa,west_erc,south_vpd_kpa,south_erc,east_vpd_kpa,east_erc
1979,1.584,52.00,,,,
1980,1.569,50.79,,,,
1981,1.550,48.75,,,,
1982,1.390,45.80,,,,
1983,1.465,46.27,,,,
1984,1.500,47.33,,,,
1985,1.567,51.82,,,,
1986,1.461,47.84,,,,
1987,1.502,48.83,,,,
1988,1.654,53.90,,,,
1989,1.556,51.57,,,,
1990,1.555,49.12,,,,
1991,1.460,47.03,,,,
1992,1.470,48.23,,,,
1993,1.376,45.36,,,,
1994,1.699,54.30,,,,
1995,1.431,44.21,,,,
1996,1.554,50.24,,,,
1997,1.446,44.63,,,,
1998,1.507,45.43,,,,
1999,1.422,46.65,,,,
2000,1.686,54.86,,,,
2001,1.696,54.85,,,,
2002,1.697,58.24,,,,
2003,1.711,55.47,,,,
2004,1.524,51.97,,,,
2005,1.567,50.71,,,,
2006,1.712,56.85,,,,
2007,1.647,54.91,,,,
2008,1.611,56.07,,,,
2009,1.590,52.74,,,,
2010,1.537,53.84,0.681,30.53,0.716,26.21
2011,1.681,55.26,1.019,41.14,0.666,20.91
2012,1.893,64.33,0.963,35.36,0.827,29.23
2013,1.633,54.06,0.837,36.29,0.668,25.84
2014,1.545,53.12,0.794,36.82,0.656,25.63
2015,1.575,51.65,0.658,26.54,0.623,24.13
2016,1.595,53.34,0.784,30.96,0.682,24.91
2017,1.645,55.03,0.897,32.17,0.641,22.52
2018,1.690,56.97,0.783,34.36,0.617,22.97
2019,1.511,50.22,0.707,29.25,0.566,20.05
2020,1.793,61.20,0.768,28.47,0.646,25.21
2021,1.742,58.27,0.732,31.38,0.685,27.55
2022,1.693,54.61,0.850,38.69,0.647,23.73
2023,1.617,52.89,0.841,33.83,0.701,28.89
2024,1.728,56.64,0.803,32.84,0.693,24.12
2025,1.613,54.67,0.958,39.74,0.650,22.74
