year,smoke_pm25_ug_m3,county_count,geography,method,source
2006,0.2014,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2007,0.5377,3107,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2008,0.2402,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2009,0.151,3105,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2010,0.2259,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2011,0.6282,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2012,0.5989,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2013,0.4044,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2014,0.2239,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2015,0.4316,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2016,0.2159,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2017,0.4768,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2018,0.5537,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2019,0.3396,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2020,0.7047,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2021,1.5117,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2022,1.2114,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
2023,2.4472,3108,CONUS,county_mean_daily_smoke_pm25,ECHO Lab v2.0 beta (Childs et al. in review; preliminary)
