year,structures_destroyed,residences_destroyed,geography,definition,source_url,notes
2014,1953,1038,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2014/Annual_Report_2014_508.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2015,4636,2638,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2015/annual_report_2015_508.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2016,4312,3192,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2016/annual_report_2016_508.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2017,12306,8065,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2017/annual_report_2017_508_0.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2018,25790,18137,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2018/annual_report_%202018_508.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2019,963,444,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2019/annual_report_2019_508.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2020,17904,9630,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2020/annual_report_0.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2021,5972,3577,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2021/annual_report_0.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2022,2717,1261,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2022/annual_report.2.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2023,4318,3060,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2023/annual_report_2023_0.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2024,4552,2406,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2024/annual_report_2024.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
2025,18385,12773,national,NICC SIT/ICS-209 structures destroyed (all types),https://www.nifc.gov/sites/default/files/NICC/2-Predictive%20Services/Intelligence/Annual%20Reports/2025/annual_report_2025_0.pdf,Undercount vs many county/state assessments; see structures-destroyed-notes.md
