year,fs_suppression_usd,doi_suppression_usd,total_suppression_usd,definition,source_url
1985,161505000,78438000,239943000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1986,111625000,91153000,202778000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1987,253657000,81452000,335109000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1988,429609000,149317000,578926000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1989,331672000,168115000,499787000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1990,253700000,144252000,397952000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1991,132300000,73820000,206120000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1992,290300000,87166000,377466000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1993,184000000,56436000,240436000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1994,757200000,161135000,918335000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1995,367000000,110126000,477126000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1996,547500000,153683000,701183000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1997,179100000,105048000,284148000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1998,306800000,109904000,416704000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
1999,361100000,154416000,515516000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2000,1076000000,334802000,1410802000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2001,683122000,269574000,952696000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2002,1279000000,395040000,1674040000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2003,1023500000,303638000,1327138000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2004,726000000,281244000,1007244000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2005,524900000,294054000,818954000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2006,1280419000,424058000,1704477000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2007,1149654000,470491000,1620145000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2008,1193073000,392783000,1585856000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2009,702111000,218418000,920529000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2010,578285000,231214000,809499000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2011,1055736000,318789000,1374525000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2012,1436614000,465832000,1902446000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2013,1341735000,399199000,1740934000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2014,1195955000,326194000,1522149000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2015,1713000000,417543000,2130543000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2016,1603806000,371739000,1975545000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2017,2410165000,508000000,2918165000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2018,2615256000,528000000,3143256000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2019,1150000000,440000000,1590000000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2020,1764000000,510000000,2274000000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2021,3741000000,648000000,4389000000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2022,2900000000,649000000,3549000000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
2023,2700000000,466300000,3166300000,NIFC federal suppression only,https://www.nifc.gov/fire-information/statistics/suppression-costs
