year,vpd_kpa
1979,1.584
1980,1.569
1981,1.550
1982,1.390
1983,1.465
1984,1.500
1985,1.567
1986,1.461
1987,1.502
1988,1.654
1989,1.556
1990,1.555
1991,1.460
1992,1.470
1993,1.376
1994,1.699
1995,1.431
1996,1.554
1997,1.446
1998,1.507
1999,1.422
2000,1.686
2001,1.696
2002,1.697
2003,1.711
2004,1.524
2005,1.567
2006,1.712
2007,1.647
2008,1.611
2009,1.590
2010,1.537
2011,1.681
2012,1.893
2013,1.633
2014,1.545
2015,1.575
2016,1.595
2017,1.645
2018,1.690
2019,1.511
2020,1.793
2021,1.742
2022,1.693
2023,1.617
2024,1.728
2025,1.613
