year,western_acres,western_acres_millions,gacc_definition,source_report
2003,2903603,2.9036,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2003_508.pdf (lightning+human)
2004,912015,0.912,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2004_508.pdf (lightning+human)
2005,2908274,2.9083,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2005_508.pdf (lightning+human)
2006,6839328,6.8393,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",Annual_Report_2006.pdf (lightning+human)
2007,6687321,6.6873,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2007_508.pdf (multiyear-text-total)
2008,2955767,2.9558,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2008_508.pdf (hand-ocr-pages lightning+human)
2009,1623922,1.6239,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2009_508.pdf (hand-ocr-pages lightning+human)
2010,1561024,1.561,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2010_508.pdf (lightning+human)
2011,4334706,4.3347,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2011_508.pdf (lightning+human)
2012,8199766,8.1998,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2012_508.pdf (lightning+human)
2013,2755028,2.755,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2023.pdf
2014,2555217,2.5552,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2024.pdf
2015,4357184,4.3572,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2016,3324442,3.3244,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2017,7370594,7.3706,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2018,6714974,6.715,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2019,1628426,1.6284,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2020,9321229,9.3212,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2021,6186783,6.1868,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2022,2883749,2.8837,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2023,1583221,1.5832,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2024,6056311,6.0563,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
2025,2916631,2.9166,"NW,NR,GB,RM,SW,NO,SO (EB+WB pre-2015)",annual_report_2025.pdf
