year,acres_burned_millions,fs_treatment_millions,interior_treatment_millions,notes
2015,10.1,,,NIFC annual statistics
2016,5.5,,,NIFC annual statistics
2017,10.0,,,NIFC annual statistics
2018,8.8,,1.27,NIFC; DOI fuels management
2019,4.7,,1.41,NIFC; DOI fuels management
2020,10.1,,1.53,NIFC; DOI fuels management
2021,7.1,,1.67,NIFC; DOI fuels management
2022,7.6,,1.97,NIFC; DOI fuels management
2023,2.7,3.7,2.59,NIFC; NPR/Grassroots Wildland Firefighters; DOI fuels management
2024,8.9,4.0,2.36,NIFC; NPR/Grassroots Wildland Firefighters; DOI fuels management
2025,5.0,2.6,,NIFC; Center for Western Priorities May 2026
2026,2.3,,,NIFC National Fire News May 29 2026 — Jan-May partial year
